county,cnty_fips,c_tot_pop_c,c_tot_death_c,c_tot_lfex_c,c_tot_low_c,c_tot_up_c,c_tot_pop_h,c_tot_death_h,c_tot_lfex_h,c_tot_low_h,c_tot_up_h,c_tot_pop_b,c_tot_death_b,c_tot_lfex_b,c_tot_low_b,c_tot_up_b,c_tot_pop_w,c_tot_death_w,c_tot_lfex_w,c_tot_low_w,c_tot_up_w,c_fem_pop_c,c_fem_death_c,c_fem_lfex_c,c_fem_low_c,c_fem_up_c,c_fem_pop_h,c_fem_death_h,c_fem_lfex_h,c_fem_low_h,c_fem_up_h,c_fem_pop_b,c_fem_death_b,c_fem_lfex_b,c_fem_low_b,c_fem_up_b,c_fem_pop_w,c_fem_death_w,c_fem_lfex_w,c_fem_low_w,c_fem_up_w,c_mal_pop_c,c_mal_death_c,c_mal_lfex_c,c_mal_low_c,c_mal_up_c,c_mal_pop_h,c_mal_death_h,c_mal_lfex_h,c_mal_low_h,c_mal_up_h,c_mal_pop_b,c_mal_death_b,c_mal_lfex_b,c_mal_low_b,c_mal_up_b,c_mal_pop_w,c_mal_death_w,c_mal_lfex_w,c_mal_low_w,c_mal_up_w
DeWitt,48123,17992.85,2489,75.81,75.13,76.5,5847.6499,451,75.21000000000001,73.96000000000001,76.52,,,,,,10389.7,1814,76.14,75.15000000000001,77.10000000000001,8562,1241,78.81,77.82000000000001,79.77,,,,,,,,,,,5227.75,934,79.45,78.12000000000001,80.79000000000001,9430.8496,1248,73.08,72.13,74,,,,,,,,,,,5161.9502,880,73.13,71.79000000000001,74.45
Deaf Smith,48117,18468.301,1475,76.68000000000001,75.94,77.39,12919.3,575,76.13,75.17,77.07000000000001,,,,,,5358.5,880,76.41,75.08,77.7,9393.049800000001,717,80.10000000000001,79.11,81.07000000000001,,,,,,,,,,,2814.3,453,80.62000000000001,78.88,82.21000000000001,9075.25,758,73.26000000000001,72.28,74.22,,,,,,,,,,,2544.2,427,72.29000000000001,70.47,74.08
Delta,48119,4649.2998,686,74.56,73.19,75.89,,,,,,,,,,,4036.8,640,74.27,72.73,75.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denton,48121,576788.4399999999,25550,82.32000000000001,82.18000000000001,82.45,112053.5,1497,92.47,91.73,93.2,50289.199,1381,87.06,86.21000000000001,87.93000000000001,414445.75,22672,81.63,81.49,81.78,290954.41,12936,83.57000000000001,83.40000000000001,83.74,55175.551,702,91.22,90.35000000000001,92.09,26489.5,706,86.41,85.42,87.46000000000001,209289.34,11528,83.10000000000001,82.91,83.29000000000001,285834.06,12614,81.26000000000001,81.05,81.47,56877.949,795,96.01000000000001,94.59,97.39,23799.699,675,91.15000000000001,89.47,92.89,205156.41,11144,80.35000000000001,80.12000000000001,80.58
Dimmit,48127,9385.6504,844,76.72,75.71000000000001,77.76000000000001,8345.1504,700,76.55,75.44,77.67,,,,,,,,,,,4808.7002,402,80.79000000000001,79.46000000000001,82.17,,,,,,,,,,,,,,,,4576.9502,442,72.8,71.28,74.3,,,,,,,,,,,,,,,
Donley,48129,3068.25,505,74.8,73.12000000000001,76.44,,,,,,,,,,,2695.6499,490,74.5,72.62000000000001,76.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duval,48131,11216.4,1229,74.29000000000001,73.41,75.15000000000001,10144.2,1109,73.98,73.06,74.87000000000001,,,,,,,,,,,5537.7002,591,77.56,76.34,78.74,5111.0498,537,77.63,76.39,78.85000000000001,,,,,,,,,,,5678.7002,638,71.42,70.21000000000001,72.63,5033.1499,572,70.73,69.44,72.04000000000001,,,,,,,,,,
Eastland,48133,16507.85,2528,74.08,73.34,74.82000000000001,,,,,,,,,,,14020.65,2405,73.82000000000001,73.02,74.62000000000001,8543.1504,1234,77.98,76.94,78.93000000000001,,,,,,,,,,,7327.25,1183,77.65000000000001,76.49,78.72,7964.7002,1294,70.37000000000001,69.37000000000001,71.39,,,,,,,,,,,6693.3999,1222,70.22,69.09,71.36
Ector,48135,133216.16,11274,74.53,74.27,74.78,72260.79700000001,2900,76.60000000000001,76.2,77,5426.2002,566,70.19,68.84,71.60000000000001,55529.148,7808,73.12000000000001,72.74,73.51000000000001,67994.602,5364,77.69,77.34,78.03,36532.25,1256,79.45,78.90000000000001,80,,,,,,28670.15,3834,76.48,75.97,76.98,65221.551,5910,71.36,71,71.72,35728.551,1644,73.71000000000001,73.14,74.3,,,,,,26859,3974,69.90000000000001,69.35000000000001,70.45
El Paso,48141,768514.38,45412,79.83,79.72,79.94,647614.0600000001,32293,80.5,80.37000000000001,80.62000000000001,21680,1204,77.65000000000001,76.82000000000001,78.44,99220.29700000001,11915,77.54000000000001,77.25,77.82000000000001,392812.66,21879,82.66,82.51000000000001,82.8,336137.84,15860,83.21000000000001,83.05,83.37000000000001,9299.1504,460,80.76000000000001,79.60000000000001,81.91,47375.648,5559,80.7,80.29000000000001,81.10000000000001,375701.69,23533,76.8,76.64,76.96000000000001,311476.19,16433,77.42,77.24,77.60000000000001,12380.85,744,75.54000000000001,74.37000000000001,76.66,51844.648,6356,74.87000000000001,74.48,75.26000000000001
